Channel,Followers,Peak viewers
TSM_ImperialHal,302593,23107
악어 (jdm2088),276488,65622
Ramee,132642,10845
Towelliee,705098,15495
SPYGEA,222046,17228
FollowGrubby,430649,15296
Amar,604374,45549
mch_AGG,219431,11191
IWillDominate,797244,23813
Nadeshot,1472104,40327
buddha,247303,11971
Deadlyslob,315637,104568
懶貓 (failverde),169973,14610
嬌兔 (zrush),180412,10628
HoneyMad,533250,21369
ESAMarathon,244440,22132
Nmplol,455444,24687
relaxing234,258402,19194
Doigby,1068260,93577
Sequisha,252495,19755
HusKerrs,361360,39433
얍얍 (yapyap30),301033,36933
Elwind,703464,18270
Shiphtur,709343,19688
BarbarousKing,159402,13419
alexelcapo,680023,74670
moistcr1tikal,1166681,42135
Rush,542991,15405
LosPollosTV,476096,54323
DreamLeague,349054,147514
Voyboy,1251182,21187
BastiGHG,507730,10455
DatModz,270720,14288
dafran,599036,19611
yeTz,849972,21212
Aurateur,142427,15547
pokelawls,668807,22496
ziGueira,529814,36519
A_Seagull,1028544,28779
koil,299033,13421
PAGO3,425072,20284
Llobeti4,648084,37469
殺梗 (xargon0731),283232,8406
itsHafu,787371,34345
shongxbong,845158,94869
StaysafeTV,149648,15608
Loeya,1233300,7955
RiotGamesJP,141684,60682
btssmash,216558,94083
PietSmiet,576903,39004
Payo,175503,12274
Shotz,159763,10316
실프_ (silphtv),309065,9401
m0xyy,461534,25387
LexVeldhuis,244467,58416
NateHill,1055613,41610
Shaunz,148568,20861
Emongg,504653,21922
fl0m,658323,19318
AsmodaiTV,247056,11751
Homyatol,375749,26274
Grimmmz,1001739,21993
aXtLOL,763886,25340
boyMinORu,367223,22141
just_ns,341549,37023
BurkeBlack,276421,4922
Trick2g,1476226,28917
FORMAL,512592,16518
Fortnite,3558217,169084
Magic,365714,114234
Xari,269447,28830
RocketBeansTV,416018,5223
ANGRYPUG,366463,9822
MarcaoRX,166594,5210
yamatonjp,179920,8247
btscsgo,219539,74949
Skyyart,598579,32577
gratis150ml,741652,9601
ShivFPS,236407,7216
Ponce,242969,23255
Distortion2,314170,11495
boxbox,1717150,25314
강지 (rkdwl12),507418,29993
TheKAIRI78,885915,47081
RiotGamesRU,173861,73049
FPSThailand,390579,38563
김나성 (naseongkim),103260,7628
오킹 (obm1025),428179,19328
singsing,572005,11839
BlackUFA,279922,10349
QuattroAce,157620,48810
bateson87,598678,20204
Staiy,259624,15429
polsatgames,141026,66706
NymN,241746,23488
orangemorange,261139,18387
MinosTV_,204605,24576
NairoMK,339545,22074
철면수심 (109ace),166726,12180
UnknownxArmy,850944,41700
s1mple,1681884,34971
bysTaXx,1093212,259210
Sjow,240206,8140
hardgamechannel,786562,27529
scoped,731808,47343
VooDooSh,85678,7560
WELOVEGAMES,413458,27956
StereOnline,327645,4227
keanelol,162917,7208
살인마협회장 (sal_gu),164092,16252
sips_,430755,7872
ESL_CSGOb,575769,89949
kyo1984123,135687,5967
midbeast,330060,16153
Alexby11,1448018,53526
Tumblurr,353687,17165
Veritas,182492,103833
daltoosh,241602,16445
ELoTRiX,895851,31194
TSM_Viss,762778,18844
Anthony_Kongphan,462128,49085
modestal,323364,25985
소풍왔니 (yumyumyu77),309322,24521
XEWER,455056,17100
blxckoutz,482061,18483
EASPORTSFIFA,1287954,106126
ALOHADANCETV,555334,18317
연두는말안드뤄 (rudbeckia7),212053,7111
Flashpoint,93616,77708
Steelmage,60987,10815
RoyalPhunk,204451,12141
Overpow,254516,10858
NeVeR_LosEs,200953,9671
AvoidingThePuddle,336181,13108
Ko0416,108784,5448
Dota2ruhub2,248277,54508
Slushpuppy,122486,118125
itmeJP,369273,24603
JesusAVGN,682899,43859
tarzaned,388878,14602
Mickalow,864324,37872
UNLOSTV,1585519,128345
resttpowered,252184,9248
Felps,844681,15553
Doublelift,1389835,52584
쉐리 (kss7749),170718,12295
Kiwo,296481,10836
adolfz,294217,15928
LigaPro1,30986,11533
knekro,260728,13731
Savjz,542892,12708
BobbyPoffGaming,125803,6453
The_Happy_Hob,216106,8560
Smurfdomuca,267948,18282
Timmac,393639,13500
Nikolarn,526389,30044
소우릎 (so_urf),95477,9665
RiffTrax,79099,24765
pimpimenta,828298,20855
FACEIT TV (faceittv),1681615,145470
crokeyz,68907,5916
Letshe,884661,28808
SaltyBet,224099,3467
소니쇼 (sonycast_),255949,7998
HGmony,34358,21999
jakenbakeLIVE,489623,23432
Syndicate,3000509,22845
RakanooLive,1234662,22607
공혁준 (rhdgurwns),289455,40001
limit_maximum,162040,124818
ElRichMC,688715,95938
guit88man,144898,7681
RaizQT,167584,15185
ReventXz,362062,47282
PatoPapao,656860,11694
Replays,871405,16193
cdewx,380159,23448
亞洲統神 (asiagodtonegg3be0),494643,18594
BotezLive,330772,36278
Conterstine,386804,18090
BeyondTheSummit_PT,203549,49496
AlphaCast,411993,28898
DownToQuest,82299,20723
똘똘똘이_ (jungtaejune),124835,6787
PENTA,152821,7172
thedarkness,536792,7440
uhSnow,134611,8375
JERICHO,1191987,21935
T90Official,160226,51422
DanucD,546052,4439
DisguisedToast,1340283,38169
DesertHeartsRecords,85097,24264
Jankos,573657,18826
GarenaTW,401222,85416
개복어 (dogswellfish),215413,10929
Sykkuno,334591,29658
JokerdTV,159384,319862
A1taOda,537519,11974
livekiss,31323,7435
Jerma985,334594,15921
KamoLRF,688868,19264
GoldGlove,1433703,22448
harbleu,349467,13230
runthefutmarket,292812,20746
웁_게임방송 (alenenwooptv),125615,4290
KarmikKoala,151920,10587
JustCooman,159117,10776
IamCristinini,398634,7943
Xop0,94751,4074
Warframe,1254031,346131
Smoke,166007,25500
Moondye7,306920,22231
jean_mago,342691,11418
mL7support,342850,9038
KriszhAdvice,284899,28709
QuickyBaby,416329,11077
aDrive,461081,14637
Ampeterby7,1194476,43882
KabajiOW,369667,13865
SNEUX,196635,30067
TrU3Ta1ent,595939,10901
OgamingSC2,105368,11457
머독 (ajehr),362794,11117
cyr,182107,19267
MrSavage,1651212,31525
Perxitaa,689582,55418
IlloJuan,275174,24315
masondota2,104526,8377
Annoying,431285,17361
고차비 (kumikomii),177741,5227
Manyrin,449520,17140
1DrakoNz,373375,15242
Pace22,171871,10350
Rammus53,978645,16370
SaltyTeemo,173196,1803
Odablock,131966,29397
MckyTV,722041,49791
Calebhart42,177595,6763
MacieJay,835787,7318
R6esportsBR,323856,60386
chistor_,89608,7099
Kephrii,559647,8709
FEDMYSTER,609723,35011
Gosu,1751290,16362
supertf,196136,9118
MoMaN,360418,16550
Kotton,253065,58818
saintvicious,247236,5370
winstrike_tv,148183,153252
pijack11,252717,8181
